だいよんじゅうにかいぜんこくこうとうがっこうやきゅうせんしゅけんたいかい
だいよんじゅうにかいぜんこくこーとーがっこーやきゅーせんしゅけんたいかい
だいよんじゅうにかいぜんこくこうとうがっこうらぐびーふっとぼーるたいかい
だいよんじゅうにかいぜんこくこーとーがっこーらぐびーふっとぼーるたいかい
だいよんじゅうにかいぜんにほんあんさんぶるこんてすと
だいよんじゅうにかいぜんにほんちゅうがっこうりくじょうきょうぎせんしゅけんたいかい
だいよんじゅうにかいぜんにほんちゅーがっこーりくじょーきょーぎせんしゅけんたいかい
だいよんじゅうにかいとしたいこうやきゅうたいかい
だいよんじゅうにかいとしたいこーやきゅーたいかい
だいよんじゅうにかいにほんれこーどたいしょう
だいよんじゅうにかいにほんれこーどたいしょー
だいよんじゅうにかいぶるーりぼんしょう
だいよんじゅうにかいぶるーりぼんしょー
だいよんじゅうにかいぷらいむたいむえみーしょう
だいよんじゅうにかいぷらいむたいむえみーしょー
だいよんじゅうにかいめいじじんぐうやきゅうたいかい
だいよんじゅうにかいめいじじんぐーやきゅーたいかい
だいよんじゅうにかいらいだーかっぷ
だいよんじゅうにじ
だいよんじゅうにだいあめりかだいとうりょう
だいよんじゅうにだいあめりかだいとうりょー
だいよんじゅうはちじ
だいよんじゅうはっかいえぬえいちけいこうはくうたがっせん
だいよんじゅうはっかいえぬえいちけいこーはくうたがっせん
だいよんじゅうはっせん
だいよんじゅうよんかいありまきねん
だいよんじゅうよんかいえぬえいちけいこうはくうたがっせん
だいよんじゅうよんかいえぬえいちけいこーはくうたがっせん
だいよんじゅうよんかいがいせんもんしょう
だいよんじゅうよんかいがいせんもんしょー
だいよんじゅうよんかいこくみんたいいくたいかい
だいよんじゅうよんかいこくみんたいーくたいかい
だいよんじゅうよんかいこくみんたいいくたいかいばれーぼーるきょうぎ
だいよんじゅうよんかいこくみんたいーくたいかいばれーぼーるきょーぎ
だいよんじゅうよんかいしゃかいじんやきゅうにほんせんしゅけんたいかい
だいよんじゅうよんかいしゃかいじんやきゅーにほんせんしゅけんたいかい
だいよんじゅうよんかいしゅうぎいんぎいんそうせんきょ
だいよんじゅうよんかいしゅーぎーんぎーんそーせんきょ
だいよんじゅうよんかいせかいいさんいいんかい
だいよんじゅうよんかいせかいいさんいーんかい
だいよんじゅうよんかいせんしんこくしゅのうかいぎ
だいよんじゅうよんかいせんしんこくしゅのーかいぎ
だいよんじゅうよんかいせんばつこうとうがっこうやきゅうたいかい
だいよんじゅうよんかいせんばつこーとーがっこーやきゅーたいかい
だいよんじゅうよんかいぜんこくこうとうがっこうやきゅうせんしゅけんたいかい
だいよんじゅうよんかいぜんこくこーとーがっこーやきゅーせんしゅけんたいかい
だいよんじゅうよんかいぜんこくこうとうがっこうらぐびーふっとぼーるたいかい
だいよんじゅうよんかいぜんこくこーとーがっこーらぐびーふっとぼーるたいかい
だいよんじゅうよんかいぜんこくしゃかいじんさっかーせんしゅけんたいかい
だいよんじゅうよんかいぜんにほんちゅうがっこうりくじょうきょうぎせんしゅけんたいかい
だいよんじゅうよんかいぜんにほんちゅーがっこーりくじょーきょーぎせんしゅけんたいかい
だいよんじゅうよんかいてんのうはいぜんにほんさっかーせんしゅけんたいかい
だいよんじゅうよんかいてんのーはいぜんにほんさっかーせんしゅけんたいかい
だいよんじゅうよんかいとしたいこうやきゅうたいかい
だいよんじゅうよんかいとしたいこーやきゅーたいかい
だいよんじゅうよんかいにほんれこーどたいしょう
だいよんじゅうよんかいにほんれこーどたいしょー
だいよんじゅうよんかいはんしんだいしょうてん
だいよんじゅうよんかいふじさんけいくらしっく
だいよんじゅうよんかいぶるーりぼんしょう
だいよんじゅうよんかいぶるーりぼんしょー
だいよんじゅうよんかいぷらいむたいむえみーしょう
だいよんじゅうよんかいぷらいむたいむえみーしょー
だいよんじゅうよんかいめいじじんぐうやきゅうたいかい
だいよんじゅうよんかいめいじじんぐーやきゅーたいかい
だいよんじゅうよんじ
だいよんじゅうよんだいあめりかだいとうりょう
だいよんじゅうよんだいあめりかだいとうりょー
だいよんじゅうろくじ
だいよんじゅうろくだいあめりかだいとうりょう
だいよんじゅうろくだいあめりかだいとうりょー
だいよんじゅうろっかいえぬえいちけいこうはくうたがっせん
だいよんじゅうろっかいえぬえいちけいこーはくうたがっせん
だいよんじゅうろっせん
だいよんじゅっかいぜんこくこうとうがっこうそうごうぶんかさい
だいよんじゅっかいぜんこくこーとーがっこーそーごーぶんかさい
だいよんじゅっせん
だいよんせくたー
だいよんせだい
だいよんせだいいどうつうしんしすてむ
だいよんせだいいどーつーしんしすてむ
だいよんせだいげんしりょくしすてむ
だいよんせだいげんしろ
だいよんせだいじぇっとせんとうき
だいよんせだいじぇっとせんとーき
だいよんせんしゃだいたい
だいよんだいそうせんきょ
だいよんだいそーせんきょ
だいよんちょうない
だいよんちょーない
だいよんのかべ
だいよんのしんぱんいん
だいよんのびーる
だいよんのや
だいらけ
だいらけにとうへい
だいらけにとーへい
だいらたんしー
だいらぼう
だいらぼー
だいらみーるあんどはばなえんとらんす
だいらむ
だいらんあんすわーす
だいらんとうすまっしゅぶらざーずえっくす
だいらんとーすまっしゅぶらざーずえっくす
だいらんとうすまっしゅぶらざーずすぺしゃる
だいらんとーすまっしゅぶらざーずすぺしゃる
だいらんとうすまっしゅぶらざーずでらっくす
だいらんとーすまっしゅぶらざーずでらっくす
だいらんとうすまっしゅぶらざーずふぉーうぃーゆー
だいらんとーすまっしゅぶらざーずふぉーうぃーゆー
だいらんとうすまっしゅぶらざーずふぉーにんてんどーすりーでぃーえす
だいらんとーすまっしゅぶらざーずふぉーにんてんどーすりーでぃーえす
だいらんどめいやー
だいらんどー
だいらんへいねす
だいらーご
だいりきかぶしきがいしゃ
だいりちうむ
だいりゅーしょん
だいりゅーてっどばーん
だいる
だいるおーま
だいれいじせかいたいせん
だいれいてっどぴーぷるず
だいれくしょんず
だいれくたーさうんど
だいれくとおーてぃーしー
だいれくとえすえむてぃーぴー
だいれくとあたっちとすとれーじ
だいれくとあにめーしょん
だいれくといぐにっしょん
だいれくとおーばーらいと
だいれくとかってぃんぐ
だいれくとかーぼんがたねんりょうでんち
だいれくとかーぼんがたねんりょーでんち
だいれくときゃっち
だいれくとしゅっぱんかぶしきがいしゃ
だいれくとすぷりんと
だいれくとそりゅーしょんず
だいれくとそりゅーしょんずかぶしきがいしゃ
だいれくとたっち
だいれくとでじたるしんせさいざ
だいれくとでじたるしんせさいざー
だいれくとひっつ
だいれくとひっと
だいれくとぷれー
だいれくとぼっくす
だいれくとまーけたー
だいれくとまーけっと
だいれくとまーけてぃんぐ
だいれくとめたのーるねんりょうでんちしゃ
だいれくとめたのーるねんりょーでんちしゃ
だいれくとめもりあくせす
だいれくとめーるだいこうかぶしきがいしゃ
だいれくとめーるだいこーかぶしきがいしゃ
だいれくとりくるーてぃんぐ
だいれくとれんだりんぐいんふらすとらくちゃ
だいれくとわん
だいれくとわんかぶしきがいしゃ
だいれくぐん
だいれっくす
だいれっくすかぶしきがいしゃ
だいれんあいぼくをわすれるきみと
だいれんあいぼくおわすれるきみと
だいれんきどうこうつうじゅうにごうせん
だいれんきどーこーつーじゅうにごーせん
だいれんじゃー
だいれんちかてついちごうせん
だいれんちかてついちごーせん
だいれんちかてつさんごうせん
だいれんちかてつさんごーせん
だいれんちかてつにごうせん
だいれんちかてつにごーせん
だいれーしょん
だいろ
だいろくじ
だいろくじおきなわこうそう
だいろくじおきなわこうそー
だいろくじさんぎょう
だいろくじさんぎょー
だいろくじっかいえぬえいちけいこうはくうたがっせん
だいろくじっかいえぬえいちけいこーはくうたがっせん
だいろくじにしなりぼうどう
だいろくじにしなりぼうどー
だいろくじゅういちじ
だいろくじゅういっかいえぬえいちけいこうはくうたがっせん
だいろくじゅういっかいえぬえいちけいこーはくうたがっせん
だいろくじゅういっせん
だいろくじゅうきゅうかいえぬえいちけいこうはくうたがっせん
だいろくじゅうきゅうかいえぬえいちけいこーはくうたがっせん
だいろくじゅうきゅうかいえぬえいちけいはいてれびしょうぎとーなめんと
だいろくじゅうきゅうかいえぬえいちけいはいてれびしょーぎとーなめんと
だいろくじゅうきゅうかいこくみんたいいくたいかい
だいろくじゅうきゅうかいこくみんたいーくたいかい
だいろくじゅうきゅうかいこくみんたいいくたいかいばれーぼーるきょうぎ
だいろくじゅうきゅうかいこくみんたいーくたいかいばれーぼーるきょーぎ
だいろくじゅうきゅうかいこくみんたいいくたいかいりくじょうきょうぎ
だいろくじゅうきゅうかいこくみんたいーくたいかいりくじょーきょーぎ
だいろくじゅうきゅうかいせんばつこうとうがっこうやきゅうたいかい
だいろくじゅうきゅうかいせんばつこーとーがっこーやきゅーたいかい
だいろくじゅうきゅうかいぜんこくこうとうがっこうさっかーせんしゅけんたいかい
だいろくじゅうきゅうかいぜんこくこーとーがっこーさっかーせんしゅけんたいかい
だいろくじゅうきゅうかいぜんこくこうとうがっこうやきゅうせんしゅけんたいかい
だいろくじゅうきゅうかいぜんこくこーとーがっこーやきゅーせんしゅけんたいかい
だいろくじゅうきゅうかいぜんこくこうとうがっこうらぐびーふっとぼーるたいかい
だいろくじゅうきゅうかいぜんこくこーとーがっこーらぐびーふっとぼーるたいかい
だいろくじゅうきゅうかいぜんにほんだいがくばすけっとぼーるせんしゅけんたいかい
だいろくじゅうきゅうかいぜんにほんだいがくやきゅうせんしゅけんたいかい
だいろくじゅうきゅうかいぜんにほんだいがくやきゅーせんしゅけんたいかい
だいろくじゅうきゅうかいぜんにほんばれーぼーるこうとうがっこうせんしゅけんたいかい
だいろくじゅうきゅうかいぜんにほんばれーぼーるこーとーがっこーせんしゅけんたいかい
だいろくじゅうきゅうかいてんのうはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうきゅうかいてんのーはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうきゅうかいとうきょうはこねかんおうふくだいがくえきでんきょうそう
だいろくじゅうきゅうかいとーきょーはこねかんおーふくだいがくえきでんきょうそー
だいろくじゅうきゅうかいとしたいこうやきゅうたいかい
だいろくじゅうきゅうかいとしたいこーやきゅーたいかい
だいろくじゅうきゅうかいにほんせんしゅけんけいりん
だいろくじゅうきゅうかいぷらいむたいむえみーしょう
だいろくじゅうきゅうかいぷらいむたいむえみーしょー
だいろくじゅうきゅうじ
だいろくじゅうごかいえぬえいちけいこうはくうたがっせん
だいろくじゅうごかいえぬえいちけいこーはくうたがっせん
だいろくじゅうごかいくろわしきぜんにほんだんじょせんばつばれーぼーるたいかい
だいろくじゅうごかいこくみんたいいくたいかいこうとうがっこうやきゅうきょうぎ
だいろくじゅうごかいこくみんたいーくたいかいこーとーがっこーやきゅーきょーぎ
だいろくじゅうごかいこくみんたいいくたいかいさっかーきょうぎ
だいろくじゅうごかいこくみんたいーくたいかいさっかーきょーぎ
だいろくじゅうごかいこくみんたいいくたいかいばれーぼーるきょうぎ
だいろくじゅうごかいこくみんたいーくたいかいばれーぼーるきょーぎ
だいろくじゅうごかいこくみんたいいくたいかいりくじょうきょうぎ
だいろくじゅうごかいこくみんたいーくたいかいりくじょーきょーぎ
だいろくじゅうごかいせんばつこうとうがっこうやきゅうたいかい
だいろくじゅうごかいせんばつこーとーがっこーやきゅーたいかい
だいろくじゅうごかいぜんこくこうとうがっこうさっかーせんしゅけんたいかい
だいろくじゅうごかいぜんこくこーとーがっこーさっかーせんしゅけんたいかい
だいろくじゅうごかいぜんこくこうとうがっこうやきゅうせんしゅけんきねんたいかい
だいろくじゅうごかいぜんこくこーとーがっこーやきゅーせんしゅけんきねんたいかい
だいろくじゅうごかいぜんにほんだいがくさっかーせんしゅけんたいかい
だいろくじゅうごかいぜんにほんだいがくやきゅうせんしゅけんたいかい
だいろくじゅうごかいぜんにほんだいがくやきゅーせんしゅけんたいかい
だいろくじゅうごかいぜんにほんばれーぼーるこうとうがっこうせんしゅけんたいかい
だいろくじゅうごかいぜんにほんばれーぼーるこーとーがっこーせんしゅけんたいかい
だいろくじゅうごかいてんのうはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうごかいてんのーはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうごかいとうきょうはこねかんおうふくだいがくえきでんきょうそう
だいろくじゅうごかいとーきょーはこねかんおーふくだいがくえきでんきょうそー
だいろくじゅうごかいとしたいこうやきゅうたいかい
だいろくじゅうごかいとしたいこーやきゅーたいかい
だいろくじゅうごかいにほんせんしゅけんけいりん
だいろくじゅうごかいぷらいむたいむえみーしょう
だいろくじゅうごかいぷらいむたいむえみーしょー
だいろくじゅうごじ
だいろくじゅうごじふぃふぁそうかい
だいろくじゅうごじふぃふぁそーかい
だいろくじゅうさんかいありまきねん
だいろくじゅうさんかいえぬえいちけいこうはくうたがっせん
だいろくじゅうさんかいえぬえいちけいこーはくうたがっせん
だいろくじゅうさんかいおーるすたーけいりん
だいろくじゅうさんかいくろわしきぜんにほんだんじょせんばつばれーぼーるたいかい
だいろくじゅうさんかいこくみんたいいくたいかい
だいろくじゅうさんかいこくみんたいーくたいかい
だいろくじゅうさんかいこくみんたいいくたいかいこうとうがっこうやきゅうきょうぎ
だいろくじゅうさんかいこくみんたいーくたいかいこーとーがっこーやきゅーきょーぎ
だいろくじゅうさんかいこくみんたいいくたいかいばれーぼーるきょうぎ
だいろくじゅうさんかいこくみんたいーくたいかいばれーぼーるきょーぎ
だいろくじゅうさんかいこくみんたいいくたいかいりくじょうきょうぎ
だいろくじゅうさんかいこくみんたいーくたいかいりくじょーきょーぎ
だいろくじゅうさんかいせんばつこうとうがっこうやきゅうたいかい
だいろくじゅうさんかいせんばつこーとーがっこーやきゅーたいかい
だいろくじゅうさんかいぜんこくこうとうがっこうさっかーせんしゅけんたいかい
だいろくじゅうさんかいぜんこくこーとーがっこーさっかーせんしゅけんたいかい
だいろくじゅうさんかいぜんこくこうとうがっこうそうごうたいいくたいかいりくじょうきょうぎたいかい
だいろくじゅうさんかいぜんこくこーとーがっこーそーごーたいーくたいかいりくじょーきょーぎたいかい
だいろくじゅうさんかいぜんこくこうとうがっこうやきゅうせんしゅけんたいかい
だいろくじゅうさんかいぜんこくこーとーがっこーやきゅーせんしゅけんたいかい
だいろくじゅうさんかいぜんにほんばれーぼーるこうとうがっこうせんしゅけんたいかい
だいろくじゅうさんかいぜんにほんばれーぼーるこーとーがっこーせんしゅけんたいかい
だいろくじゅうさんかいてんのうはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうさんかいてんのーはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうさんかいとうきょうはこねかんおうふくだいがくえきでんきょうそう
だいろくじゅうさんかいとーきょーはこねかんおーふくだいがくえきでんきょうそー
だいろくじゅうさんかいとしたいこうやきゅうたいかい
だいろくじゅうさんかいとしたいこーやきゅーたいかい
だいろくじゅうさんかいにほんせんしゅけんけいりん
だいろくじゅうさんかいぶるーりぼんしょう
だいろくじゅうさんかいぶるーりぼんしょー
だいろくじゅうさんかいぷらいむたいむえみーしょう
だいろくじゅうさんかいぷらいむたいむえみーしょー
だいろくじゅうさんじ
だいろくじゅうじ
だいろくじゅうななかいえぬえいちけいこうはくうたがっせん
だいろくじゅうななかいえぬえいちけいこーはくうたがっせん
だいろくじゅうななかいえぬえいちけいはいてれびしょうぎとーなめんと
だいろくじゅうななかいえぬえいちけいはいてれびしょーぎとーなめんと
だいろくじゅうななかいくろわしきぜんにほんだんじょせんばつばれーぼーるたいかい
だいろくじゅうななかいこうはくうたがっせん
だいろくじゅうななかいこーはくうたがっせん
だいろくじゅうななかいこくみんたいいくたいかいばれーぼーるきょうぎ
だいろくじゅうななかいこくみんたいーくたいかいばれーぼーるきょーぎ
だいろくじゅうななかいこくみんたいいくたいかいりくじょうきょうぎ
だいろくじゅうななかいこくみんたいーくたいかいりくじょーきょーぎ
だいろくじゅうななかいごーるでんぐろーぶしょう
だいろくじゅうななかいごーるでんぐろーぶしょー
だいろくじゅうななかいせんばつこうとうがっこうやきゅうたいかい
だいろくじゅうななかいせんばつこーとーがっこーやきゅーたいかい
だいろくじゅうななかいぜんこくこうとうがっこうさっかーせんしゅけんたいかい
だいろくじゅうななかいぜんこくこーとーがっこーさっかーせんしゅけんたいかい
だいろくじゅうななかいぜんこくこうとうがっこうやきゅうせんしゅけんたいかい
だいろくじゅうななかいぜんこくこーとーがっこーやきゅーせんしゅけんたいかい
だいろくじゅうななかいぜんこくこうとうがっこうらぐびーふっとぼーるたいかい
だいろくじゅうななかいぜんこくこーとーがっこーらぐびーふっとぼーるたいかい
だいろくじゅうななかいぜんにほんすいそうがくこんくーる
だいろくじゅうななかいぜんにほんすいそーがくこんくーる
だいろくじゅうななかいぜんにほんばれーぼーるこうとうがっこうせんしゅけんたいかい
だいろくじゅうななかいぜんにほんばれーぼーるこーとーがっこーせんしゅけんたいかい
だいろくじゅうななかいてんのうはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうななかいてんのーはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうななかいとうきょうはこねかんおうふくだいがくえきでんきょうそう
だいろくじゅうななかいとーきょーはこねかんおーふくだいがくえきでんきょうそー
だいろくじゅうななかいとしたいこうやきゅうたいかい
だいろくじゅうななかいとしたいこーやきゅーたいかい
だいろくじゅうななかいにほんせんしゅけんけいりん
だいろくじゅうななかいぷらいむたいむえみーしょう
だいろくじゅうななかいぷらいむたいむえみーしょー
だいろくじゅうななじ
だいろくじゅうにかいありまきねん
だいろくじゅうにかいえぬえいちけいこうはくうたがっせん
だいろくじゅうにかいえぬえいちけいこーはくうたがっせん
だいろくじゅうにかいおーるすたーけいりん
だいろくじゅうにかいくろわしきぜんにほんだんじょせんばつばれーぼーるたいかい
だいろくじゅうにかいぐらみーしょう
だいろくじゅうにかいぐらみーしょー
だいろくじゅうにかいこくみんたいいくたいかい
だいろくじゅうにかいこくみんたいーくたいかい
だいろくじゅうにかいこくみんたいいくたいかいさっかーきょうぎ
だいろくじゅうにかいこくみんたいーくたいかいさっかーきょーぎ
だいろくじゅうにかいこくみんたいいくたいかいばれーぼーるきょうぎ
だいろくじゅうにかいこくみんたいーくたいかいばれーぼーるきょーぎ
だいろくじゅうにかいこくみんたいいくたいかいりくじょうきょうぎ
だいろくじゅうにかいこくみんたいーくたいかいりくじょーきょーぎ
だいろくじゅうにかいせんばつこうとうがっこうやきゅうたいかい
だいろくじゅうにかいせんばつこーとーがっこーやきゅーたいかい
だいろくじゅうにかいぜんこくこうとうがっこうさっかーせんしゅけんたいかい
だいろくじゅうにかいぜんこくこーとーがっこーさっかーせんしゅけんたいかい
だいろくじゅうにかいぜんこくこうとうがっこうそうごうたいいくたいかいりくじょうきょうぎたいかい
だいろくじゅうにかいぜんこくこーとーがっこーそーごーたいーくたいかいりくじょーきょーぎたいかい
だいろくじゅうにかいぜんこくこうとうがっこうやきゅうせんしゅけんたいかい
だいろくじゅうにかいぜんこくこーとーがっこーやきゅーせんしゅけんたいかい
だいろくじゅうにかいぜんにほんだいがくばすけっとぼーるせんしゅけんたいかい
だいろくじゅうにかいてんのうはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうにかいてんのーはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうにかいとうきょうはこねかんおうふくだいがくえきでんきょうそう
だいろくじゅうにかいとーきょーはこねかんおーふくだいがくえきでんきょうそー
だいろくじゅうにかいとしたいこうやきゅうたいかい
だいろくじゅうにかいとしたいこーやきゅーたいかい
だいろくじゅうにかいぶるーりぼんしょう
だいろくじゅうにかいぶるーりぼんしょー
だいろくじゅうにかいぷらいむたいむえみーしょう
だいろくじゅうにかいぷらいむたいむえみーしょー
だいろくじゅうにじ
だいろくじゅうはちじ
だいろくじゅうはっせん
だいろくじゅうよんかいありまきねん
だいろくじゅうよんかいえぬえいちけいこうはくうたがっせん
だいろくじゅうよんかいえぬえいちけいこーはくうたがっせん
だいろくじゅうよんかいくろわしきぜんにほんだんじょせんばつばれーぼーるたいかい
だいろくじゅうよんかいこくみんたいいくたいかい
だいろくじゅうよんかいこくみんたいーくたいかい
だいろくじゅうよんかいこくみんたいいくたいかいこうとうがっこうやきゅうきょうぎ
だいろくじゅうよんかいこくみんたいーくたいかいこーとーがっこーやきゅーきょーぎ
だいろくじゅうよんかいこくみんたいいくたいかいばれーぼーるきょうぎ
だいろくじゅうよんかいこくみんたいーくたいかいばれーぼーるきょーぎ
だいろくじゅうよんかいこくみんたいいくたいかいりくじょうきょうぎ
だいろくじゅうよんかいこくみんたいーくたいかいりくじょーきょーぎ
だいろくじゅうよんかいこっかい
だいろくじゅうよんかいせんばつこうとうがっこうやきゅうたいかい
だいろくじゅうよんかいせんばつこーとーがっこーやきゅーたいかい
だいろくじゅうよんかいぜんこくこうとうがっこうさっかーせんしゅけんたいかい
だいろくじゅうよんかいぜんこくこーとーがっこーさっかーせんしゅけんたいかい
だいろくじゅうよんかいぜんこくこうとうがっこうやきゅうせんしゅけんたいかい
だいろくじゅうよんかいぜんこくこーとーがっこーやきゅーせんしゅけんたいかい
だいろくじゅうよんかいぜんにほんばれーぼーるこうとうがっこうせんしゅけんたいかい
だいろくじゅうよんかいぜんにほんばれーぼーるこーとーがっこーせんしゅけんたいかい
だいろくじゅうよんかいてんのうはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうよんかいてんのーはいぜんにほんさっかーせんしゅけんたいかい
だいろくじゅうよんかいとうきょうはこねかんおうふくだいがくえきでんきょうそう
だいろくじゅうよんかいとーきょーはこねかんおーふくだいがくえきでんきょうそー
だいろくじゅうよんかいとしたいこうやきゅうたいかい
だいろくじゅうよんかいとしたいこーやきゅーたいかい
だいろくじゅうよんかいながさきけんすいそうがくこんくーる
だいろくじゅうよんかいながさきけんすいそーがくこんくーる
だいろくじゅうよんかいにほんせんしゅけんけいりん
だいろくじゅうよんかいぷらいむたいむえみーしょう
だいろくじゅうよんかいぷらいむたいむえみーしょー
だいろくじゅうよんじ
