たけにぐさ
あおがえる
ぎょーたい
ふな
あゆ
そうず
そーず
ふくぞう
ふくぞー
ちゃせんがみ
ほうしん
ほーしん
すう
すー
ほうしゅう
ほーしゅー
ふりゅう
ふりゅー
ますい
ぞーじょーまん
びん
おんど
まゆげ
ありだか
きんだ
しおで
おしば
うけごし
おと
すばる
もうそう
もーそー
じょうれん
じょーれん
ばてい
みずがい
けご
ちゃぼ
やまでら
よびじお
れんじゃく
いしがめ
あづま
あずま
きょうてい
きょーてい
からすき
ちゅーこく
しゃがん
さがん
ぴこ
すすき
ぺんぺんぐさ
うんちく
じゅきょう
じゅきょー
すてろいど
たすき
くちゅう
くちゅー
はい
えんざん
だぶりゅーしー
ひっしゃ
いっかん
たりゅーむ
ひより
あいそ
だいはちぐるま
こおろぎ
こーろぎ
てっかん
おどろ
きれつ
へいそく
くさぶえ
だいこん
ちゅうすい
ちゅーすい
やけぎょう
やけぎょー
てんと
くもり
ぜんまい
おじ
ずいこう
ずいこー
みそはぎ
にゅうがん
にゅーがん
めしびつ
めまつ
やみ
へいそう
へいそー
ちゅうじょう
ちゅーじょー
しーぴーゆー
しゅーじんき
げんごろうぶな
げんごろーぶな
きひ
わらさ
じょーぐ
まがり
ないじ
かんこつ
しょうろ
しょーろ
しず
そすい
かんあい
しゅろ
ざる
ちょーかいりょく
しとく
もち
せつえい
じもく
あーるえすしー
えすえる
とびのうお
えむてぃーびー
しょくようがえる
しょくよーがえる
ふれっくす
なえぎ
とど
ともがら
つつどり
ふうし
ふーし
こくしょく
たかぐもり
そる
らいと
ぐーわ
つるだち
ふじゅ
ずいき
がんかい
ふじだな
ほうぼう
ほーぼー
ざりがに
きのこ
じょうろ
じょーろ
げっぽう
げっぽー
しーあーる
なげし
くいだめ
ろいどめがね
わらび
はっきゅう
はっきゅー
せめぐち
しんぼく
じょう
じょー
かんしつ
そんのう
そんのー
みことのり
じょーし
おかーさん
くいぶち
りょーみん
いとこ
ほっこう
ほっこー
すがる
ひうちがね
あらて
てぐす
くびくくり
はば
おーえき
しょーび
とっさ
うがい
きこん
ほうび
ほーび
こも
ごーたい
ぎむ
ながおどり
つけたり
なきりぼうちょう
なきりぼーちょー
つばくらめ
からたけ
ところ
おおたか
おーたか
あまがえる
ぬえ
はっきん
つめばら
こうと
やげんぼり
いりゅう
いりゅー
とあみ
やつはし
えりごのみ
ぎせい
ていきん
じゅんよ
こっか
たいぐう
たいぐー
こうふん
こーふん
ぶっしょう
ぶっしょー
せんたりんぐ
えふびー
そうか
そーか
しだ
くいな
いっちょう
いっちょー
ふぉーゔぃすむ
みかど
なおなおがき
なすび
なす
おかーさま
まーち
かんながら
しょーにゅーせき
はかま
からくれない
えら
はやがね
かながき
ひょうひょう
ひょーひょー
かじかがえる
わりご
おとしぶみ
ぷちしねまばざーる
げんこ
ほらがい
むすこ
あしゅら
ふうしんし
ふーしんし
ひやしんす
が
きょか
かっぷ
よう
よー
ごくらくちょう
ごくらくちょー
たいおう
たいおー
みつば
もんぴ
すげ
さかえ
ひがんばな
やもり
みぎょーしょ
しんぽん
はな
くさみ
ま
たーみねいてぃんぐ
へい
もっこく
であい
わいだん
ひきだし
あいがも
ごしき
いそぎんちゃく
なとりうむ
なとりゅーむ
つれしょーべん
ぬかご
むかご
ちゅーこーしょく
こころ
げっぷ
ごむ
だーはむ
おび
ぶろっく
ちゅーき
ひなぎく
しゅうへき
しゅーへき
がりばん
うぐいす
しょうじゅつきん
しょーじゅつきん
るしゃなぶつ
しゅうかいどう
しゅーかいどー
おいらん
ぐん
ちどり
まいそう
まいそー
あいえんきえん
がんません
とうご
とーご
じゃっこう
じゃっこー
ふさ
とのさまがえる
すいかく
ほねっぷし
さなぎ
あいき
がんらいこう
がんらいこー
みすゆにばーす
もえぎ
まつりごと
ぽっぷあーと
たいがー
おうだん
おーだん
しゅうりょう
しゅーりょー
すぎわら
なむあみだぶつ
じょーだま
ましん
ぎんなん
かぐら
つつ
たいぜん
ぱーす
たてあい
へんさん
りゅうがん
りゅーがん
みかづき
みかずき
うきどっく
いけん
きせき
そふとえいぶい
きょがん
つらら
ふらんしゅーむ
ほーろく
しょーさんかりゅーむ
つぶ
じじつ
きそく
したびらめ
かおかたち
おうせ
おーせ
ばんじゃく
かいひん
こおーこんらい
なんど
なべ
よろず
いしだい
ひな
ひいな
つるぎ
かいつぶり
うば
うんえんひょうびょう
うんえんひょーびょー
ちしき
なだい
そばづえ
そばずえ
ぼんぼん
じんせき
ろうと
ろーと
すもん
とりこしぐろう
とりこしぐろー
はなやさい
くじゃく
けがに
しおり
きょーえん
もぐさ
ししゃく
ももんが
おーずかみ
なら
けんうん
さいえんす
きょじゅ
とら
なだれ
おとめ
しじみ
ずんどう
ずんどー
かったい
しゅうじつ
しゅーじつ
ぐーじん
いじょーりたーん
くさがめ
おぐし
いくさ
きたん
びようやなぎ
びよーやなぎ
ねむ
ぎゅーば
ぶんたん
こうあつ
こーあつ
ひてん
いれぢえ
いれじえ
しゅうごう
しゅーごー
せつげん
けり
いっしき
にうけ
おおざと
おーざと
べんれい
べっぽう
べっぽー
はりがみ
どん
やせい
いんこう
いんこー
ますと
おがたまのき
のこ
のこぎり
せんぷ
りと
こけい
こたつ
くよう
くよー
くじら
ふぇいす
つむぎ
きっこう
きっこー
じょーへん
どどいつ
むろ
れーん
あめんぼ
ぞっかん
みずおち
みぞおち
たんぺん
こうぐう
こーぐー
たいぶ
つまがけ
わたりどり
じょーせい
けいはい
ますたー
せんしゅぼーえい
じょーどへんぞー
ねがい
げんや
みずら
だーりん
かつおぶし
しおがま
しんわ
はいまつ
さくさく
ぺあ
えーかー
ぼたん
げっかん
しゅんらん
けいぼう
けいぼー
まご
はぜのき
まゆ
てんしょ
でいけあ
めいちゅう
めいちゅー
いちがん
いきのを
いきのお
おんきょう
おんきょー
あぐら
ろ
ゆすらうめ
おもいで
せどう
せどー
まっち
しほ
かどで
うこう
うこー
きず
えいほう
えいほー
なつご
くろわっさん
ばくせい
とつとつ
ぼうゆう
ぼーゆー
うきごし
はだ
はだえ
やな
きょひ
はいだん
おーん
しな
かろりー
ほうすい
ほーすい
しあい
へら
もの
まげ
とんぐむ
つくもがみ
まちびと
にーさん
じゅらい
ぱーせんと
すいよう
すいよー
ふだらく
あわび
ばつ
むじな
むしろばた
あまのじゃく
たるみ
がらん
きぬぎぬ
たましい
たましー
ほんだわら
もさ
こっきょう
こっきょー
がんとう
がんとー
から
はなぞの
みる
ていせん
しゃくなげ
せきえん
しょうじょうばえ
しょーじょーばえ
みよし
わさびづけ
わさびずけ
ごーわん
せんかし
くだもの
りしゅう
りしゅー
くさぐさ
むしろ
たつき
ここやし
すぎ
きりかみ
かうぼーい
じるこにうむ
じるこにゅーむ
かぜひき
ごくう
ごくー
きんきんぜん
きょうさい
きょーさい
おばな
とねりこ
ざすくーぷおぶ
かばね
おーみや
まと
はんば
ぐち
どぼく
ちんぴら
なんぽう
なんぽー
すとろんちうむ
すとろんちゅーむ
ぎが
こーめ
すみれ
ばーる
くすし
けっかい
ひだり
ふま
ひぜん
てんぴょう
てんぴょー
えんよう
えんよー
みお
げっこう
げっこー
らてん
さつじん
にれ
しにがみ
かくいつ
しこ
おりづめ
おりずめ
にしきぎ
てれび
ぺにー
えんろ
さかば
ぎぎ
ばくれつ
せんそう
せんそー
びーご
すわえ
けつめい
まきがい
げきむ
びぜん
ぱいろっと
そくしん
かが
びんざさら
こまどり
ぎゅーらく
やぶじらみ
よつかど
いっぱ
さなとりうむ
さなとりゅーむ
ちん
ささ
ばしょう
ばしょー
くらい
とみ
こずえ
こんび
びんぜん
ぼたんばけ
じっそう
じっそー
きっすい
くろずみ
あかしあ
かぶり
つむり
つぶり
こうべ
こーべ
かしら
ほん
しゅっこんそう
しゅっこんそー
かくかく
そえがき
かのえ
なかなおり
きざはし
とくのう
とくのー
かんち
やしゃご
げんそん
なんごく
きんとーりつ
ぼんじ
しょーにゅーどー
はまぐり
ほんま
かっか
ほくよう
ほくよー
とりざた
よつずもう
よつずもー
かね
だんかん
けいしゃ
なれそめ
たいま
せんぴ
こごし
ひん
もっけ
はるぜみ
おーじー
くらっく
ほんぞう
ほんぞー
あいあぷり
しんにん
せきちく
はちたい
そーくつ
ぜにがめ
ていあつ
にっぽんばれ
しぎょう
しぎょー
つぎざお
かきん
ぼぎー
ひつぎ
じょーそー
とりみんぐ
じょーだい
きりぼし
ぎぼ
ちりけ
もーふ
らんちゅう
らんちゅー
ぶとう
ぶとー
れい
たわし
ちゅーぼく
おうとう
おーとー
ししそんそん
さんぱい
うろこ
みょーじ
ふーふ
あむーる
りきゅう
りきゅー
は
けーぷたうん
ほしか
わすれなぐさ
れんぽう
れんぽー
ぐま
かくめい
あかげっと
ななえ
りょうり
りょーり
かつら
どぶろく
あおげ
いっしょうさんたん
いっしょーさんたん
むらさき
このえ
うけはらい
ほおずき
ほーずき
ちぇっくぽいんと
さいぼう
さいぼー
はんごう
はんごー
からき
うどん
たかさご
